Year,Daily Mean Discharge [ft3/s],Timestamp of image,Time difference between photos (Days),Image_ID,Satellite
1985,755,10/7/85,-,LANDSAT/LT05/C02/T1_L2/LT05_025039_19851007,LS5
1986,2240,10/26/86,384,LANDSAT/LT05/C02/T1_L2/LT05_025039_19861026,LS5
1987,455,10/29/87,368,LANDSAT/LT05/C02/T1_L2/LT05_025039_19871029,LS5
1988,897,12/18/88,416,LANDSAT/LT05/C02/T1_L2/LT05_025039_19881218,LS5
1989,1000,12/5/89,352,LANDSAT/LT05/C02/T1_L2/LT05_025039_19891205,LS5
1990,1350,11/6/90,336,LANDSAT/LT05/C02/T1_L2/LT05_025039_19901106,LS5
1991,2160,9/22/91,320,LANDSAT/LT05/C02/T1_L2/LT05_025039_19910922,LS5
1992,739,10/26/92,400,LANDSAT/LT05/C02/T1_L2/LT05_025039_19921026,LS5
1993,1100,9/27/93,336,LANDSAT/LT05/C02/T1_L2/LT05_025039_19930927,LS5
1994,6290,4/7/94,192,LANDSAT/LT05/C02/T1_L2/LT05_025039_19940407,LS5
1995,6370,2/21/95,320,LANDSAT/LT05/C02/T1_L2/LT05_025039_19950221,LS5
1996,909,3/11/96,384,LANDSAT/LT05/C02/T1_L2/LT05_025039_19960311,LS5
1997,1740,8/21/97,528,LANDSAT/LT05/C02/T1_L2/LT05_025039_19970821,LS5
1998,2680,7/7/98,320,LANDSAT/LT05/C02/T1_L2/LT05_025039_19980707,LS5
1999,1020,8/27/99,416,LANDSAT/LT05/C02/T1_L2/LT05_025039_19990827,LS5
2000,1160,2/3/00,160,LANDSAT/LT05/C02/T1_L2/LT05_025039_20000203,LS5
2001,1610,11/20/01,656,LANDSAT/LT05/C02/T1_L2/LT05_025039_20011120,LS5
2002,1230,11/23/02,368,LANDSAT/LT05/C02/T1_L2/LT05_025039_20021123,LS5
2003,2180,5/18/03,176,LANDSAT/LT05/C02/T1_L2/LT05_025039_20030518,LS5
2005,1920,5/23/05,736,LANDSAT/LT05/C02/T1_L2/LT05_025039_20050523,LS5
2006,1090,8/30/06,464,LANDSAT/LT05/C02/T1_L2/LT05_025039_20060830,LS5
2008,1540,9/4/08,736,LANDSAT/LT05/C02/T1_L2/LT05_025039_20080904,LS5
2009,912,2/11/09,160,LANDSAT/LT05/C02/T1_L2/LT05_025039_20090211,LS5
2010,842,8/25/10,560,LANDSAT/LT05/C02/T1_L2/LT05_025039_20100825,LS5
2011,1530,10/15/11,416,LANDSAT/LT05/C02/T1_L2/LT05_025039_20111015,LS5
2013,1370,8/17/13,672,LANDSAT/LC08/C02/T1_L2/LC08_025039_20130817,LS8
2014,1330,11/24/14,464,LANDSAT/LC08/C02/T1_L2/LC08_025039_20141124,LS8
2015,1310,10/10/15,320,LANDSAT/LC08/C02/T1_L2/LC08_025039_20151010,LS8
2016,1190,10/28/16,384,LANDSAT/LC08/C02/T1_L2/LC08_025039_20161028,LS8
2017,1350,9/29/17,336,LANDSAT/LC08/C02/T1_L2/LC08_025039_20170929,LS8
2018,2610,4/25/18,208,LANDSAT/LC08/C02/T1_L2/LC08_025039_20180425,LS8
2019,1390,12/24/19,608,LANDSAT/LC08/C02/T1_L2/LC08_025039_20191224,LS8
2020,1500,8/20/20,240,LANDSAT/LC08/C02/T1_L2/LC08_025039_20200820,LS8
2021,1330,9/24/21,400,LANDSAT/LC08/C02/T1_L2/LC08_025039_20210924,LS8
2022,1540,9/27/22,368,LANDSAT/LC08/C02/T1_L2/LC08_025039_20220927,LS8